Date,Open,High,Low,Close,Adj Close,Volume
25-01-1999,3.25,3.26,3.07,3.26,2.160334,15500
26-01-1999,3.26,3.26,3.26,3.26,2.160334,0
27-01-1999,3.2,3.2,3.12,3.2,2.120573,5000
28-01-1999,3.2,3.28,3.16,3.16,2.094066,8500
29-01-1999,3.2,3.24,3.02,3.03,2.007917,37000
01-02-1999,3.1,3.12,3.1,3.1,2.054305,7500
02-02-1999,3.2,3.2,3.02,3.19,2.113946,34500
03-02-1999,3.24,3.25,3.15,3.17,2.100692,60500
04-02-1999,3.2,3.2,3.1,3.1,2.054305,30000
05-02-1999,3.18,3.2,3.02,3.1,2.054305,27500
08-02-1999,3.1,3.14,3.1,3.13,2.074185,9500
09-02-1999,3,3.1,3,3.06,2.027798,9000
10-02-1999,3.19,3.2,3,3.02,2.001291,13000
11-02-1999,3.1,3.1,3,3.06,2.027798,23000
12-02-1999,3,3.1,3,3,1.988037,86500
15-02-1999,3,3,3,3,1.988037,3500
16-02-1999,3.11,3.11,3.01,3.01,1.994664,4000
17-02-1999,3.02,3.08,3,3.02,2.001291,3000
18-02-1999,2.95,3.1,2.95,3,1.988037,55000
19-02-1999,3.05,3.05,2.9,3,1.988037,47500
22-02-1999,3.1,3.1,2.8,2.99,1.981409,3500
23-02-1999,2.91,2.91,2.84,2.88,1.908515,12500
24-02-1999,2.82,2.9,2.8,2.9,1.921769,21000
25-02-1999,2.94,2.96,2.85,2.85,1.888635,12500
26-02-1999,2.9,2.9,2.84,2.88,1.908515,13500
01-03-1999,2.85,2.87,2.8,2.84,1.882008,50000
02-03-1999,2.84,2.84,2.84,2.84,1.882008,0
03-03-1999,3.04,3.54,3.04,3.51,2.326003,102500
04-03-1999,3.5,3.5,3.12,3.32,2.200094,284000
05-03-1999,3.49,3.49,3.2,3.27,2.16696,271000
08-03-1999,3.69,3.69,3.3,3.3,2.186841,212000
09-03-1999,3.59,3.6,3.2,3.2,2.120573,119000
10-03-1999,2.94,3.2,2.94,3.15,2.087439,19000
11-03-1999,3.1,3.19,3,3,1.988037,61500
12-03-1999,3,3.05,2.8,2.89,1.915142,69500
15-03-1999,3.02,3.02,2.9,2.9,1.921769,49500
16-03-1999,2.92,3.02,2.8,2.84,1.882008,66000
17-03-1999,2.99,2.99,2.82,2.83,1.875381,13500
18-03-1999,2.83,2.83,2.83,2.83,1.875381,0
19-03-1999,2.84,2.85,2.77,2.79,1.848875,67000
22-03-1999,2.9,2.9,2.78,2.8,1.855501,61500
23-03-1999,2.88,2.88,2.75,2.83,1.875381,45000
24-03-1999,2.8,2.82,2.74,2.8,1.855501,51500
25-03-1999,2.8,2.8,2.8,2.8,1.855501,0
26-03-1999,2.7,2.76,2.6,2.62,1.736219,53000
29-03-1999,2.62,2.62,2.62,2.62,1.736219,0
30-03-1999,2.75,2.77,2.6,2.68,1.77598,23000
31-03-1999,2.8,2.86,2.8,2.8,1.855501,7500
01-04-1999,2.65,2.8,2.65,2.79,1.848875,4500
02-04-1999,2.79,2.79,2.79,2.79,1.848875,0
05-04-1999,2.79,2.8,2.61,2.65,1.756099,9500
06-04-1999,2.74,2.74,2.61,2.61,1.729592,11500
07-04-1999,2.69,2.7,2.65,2.65,1.756099,10000
08-04-1999,2.65,2.68,2.63,2.63,1.742846,13000
09-04-1999,2.64,2.7,2.6,2.62,1.736219,9000
12-04-1999,2.61,2.62,2.6,2.62,1.736219,1500
13-04-1999,2.6,2.65,2.6,2.64,1.749472,5500
14-04-1999,2.64,2.64,2.64,2.64,1.749472,0
15-04-1999,2.6,2.7,2.6,2.6,1.722965,6000
16-04-1999,2.61,2.61,2.54,2.59,1.716339,17500
19-04-1999,2.6,2.64,2.52,2.64,1.749472,11000
20-04-1999,2.6,2.69,2.6,2.67,1.769353,16500
21-04-1999,2.76,2.76,2.62,2.64,1.749472,9000
22-04-1999,2.65,2.71,2.6,2.65,1.756099,7500
23-04-1999,2.6,2.65,2.6,2.6,1.722965,34500
26-04-1999,2.5,2.6,2.46,2.47,1.636817,13000
27-04-1999,2.47,2.47,2.47,2.47,1.636817,0
28-04-1999,2.6,2.6,2.5,2.5,1.656698,10500
29-04-1999,2.6,2.6,2.5,2.59,1.716339,5000
30-04-1999,2.59,2.59,2.59,2.59,1.716339,0
03-05-1999,2.6,2.73,2.5,2.52,1.669951,9500
04-05-1999,2.74,2.74,2.54,2.54,1.683204,152500
05-05-1999,2.74,2.74,2.6,2.61,1.729592,15500
06-05-1999,2.6,2.73,2.6,2.66,1.762726,16000
07-05-1999,2.54,2.75,2.54,2.75,1.822367,6500
10-05-1999,2.7,2.8,2.7,2.79,1.848875,15000
11-05-1999,2.84,2.9,2.71,2.71,1.79586,39000
12-05-1999,2.71,2.76,2.7,2.71,1.79586,11000
13-05-1999,2.76,2.8,2.66,2.68,1.77598,13000
14-05-1999,2.66,2.85,2.65,2.7,1.789233,54500
17-05-1999,2.71,2.9,2.71,2.9,1.921769,34000
18-05-1999,2.9,2.9,2.8,2.9,1.921769,9500
19-05-1999,2.89,3.08,2.89,3.08,2.04105,29000
20-05-1999,3.17,3.25,3,3.03,2.007917,60500
21-05-1999,3,3.04,2.9,2.9,1.921769,9000
24-05-1999,2.9,2.98,2.84,2.85,1.888635,7000
25-05-1999,2.85,2.85,2.6,2.85,1.888635,54000
26-05-1999,2.8,2.8,2.78,2.78,1.842247,5000
27-05-1999,2.8,2.8,2.75,2.76,1.828994,2500
28-05-1999,2.75,2.8,2.6,2.65,1.756099,48000
31-05-1999,2.78,2.81,2.78,2.8,1.855501,42500
01-06-1999,3.1,3.1,2.9,3,1.988037,110500
02-06-1999,3.09,3.09,2.92,2.97,1.968157,41000
03-06-1999,2.92,3.05,2.9,2.98,1.974783,43500
04-06-1999,2.92,2.96,2.86,2.91,1.928396,111500
07-06-1999,3.5,3.52,3,3.1,2.054305,149500
08-06-1999,2.98,3.18,2.98,3.05,2.021171,59500
09-06-1999,3.1,3.14,3.1,3.1,2.054305,36000
10-06-1999,3.08,3.12,3.02,3.02,2.001291,97500
11-06-1999,3.08,3.08,2.98,3,1.988037,38000
14-06-1999,2.98,2.98,2.8,2.85,1.888635,6000
15-06-1999,2.82,2.89,2.8,2.85,1.888635,9500
16-06-1999,2.81,2.9,2.8,2.85,2.031174,17000
17-06-1999,2.9,3,2.9,2.98,2.123823,28000
18-06-1999,2.95,2.95,2.9,2.95,2.102443,6000
21-06-1999,2.86,2.97,2.86,2.97,2.116697,6500
22-06-1999,2.99,2.99,2.85,2.95,2.102443,4000
23-06-1999,3,3.6,2.82,3.4,2.423154,217500
24-06-1999,3.2,3.2,3.09,3.1,2.209346,71000
25-06-1999,3.2,3.2,3.12,3.18,2.266362,40500
28-06-1999,3.18,3.18,3.08,3.08,2.195092,5500
29-06-1999,3.02,3.18,3.02,3.15,2.244981,7500
30-06-1999,2.91,3.1,2.91,3.1,2.209346,7500
01-07-1999,3.19,3.19,3.07,3.1,2.209346,3500
02-07-1999,3.1,3.16,3.08,3.1,2.209346,17000
05-07-1999,3.15,3.15,3.05,3.11,2.216474,41500
06-07-1999,3.12,3.15,3.1,3.13,2.230728,33000
07-07-1999,3.14,3.2,3.1,3.17,2.259235,35000
08-07-1999,3.14,3.19,3.13,3.16,2.252108,11500
09-07-1999,3.2,3.25,3.13,3.15,2.244981,57500
12-07-1999,3.27,3.6,3.2,3.46,2.465916,56500
13-07-1999,3.3,3.4,3.3,3.31,2.359012,19500
14-07-1999,3.3,3.4,3.21,3.32,2.366139,12000
15-07-1999,3.47,3.47,3.16,3.19,2.273489,90500
16-07-1999,3.2,3.3,3.16,3.28,2.337631,109500
19-07-1999,3.6,4.09,3.6,3.93,2.800881,306000
20-07-1999,4,4.03,3.4,3.72,2.651216,172000
21-07-1999,3.42,3.85,3.4,3.81,2.715359,56500
22-07-1999,3.66,3.88,3.66,3.72,2.651216,108000
23-07-1999,3.67,3.85,3.63,3.67,2.615582,65000
26-07-1999,3.8,3.8,3.58,3.69,2.629835,36500
27-07-1999,3.75,3.75,3.6,3.62,2.579947,13500
28-07-1999,3.52,3.58,3.44,3.5,2.494423,53000
29-07-1999,3.5,3.51,3.4,3.4,2.423154,91500
30-07-1999,3.44,3.5,3.3,3.3,2.351886,220500
02-08-1999,3.4,3.4,3.34,3.34,2.380393,7500
03-08-1999,3.35,3.4,3.2,3.2,2.280616,148500
04-08-1999,3.3,3.39,3.3,3.36,2.394646,96500
05-08-1999,3.36,3.4,3.3,3.39,2.416027,24500
06-08-1999,3.32,3.32,3.24,3.25,2.316251,32500
09-08-1999,3.4,3.4,3.32,3.35,2.38752,10000
10-08-1999,3.34,3.34,3.21,3.28,2.337631,35000
11-08-1999,3.28,3.3,3.22,3.29,2.344758,71000
12-08-1999,3.22,3.35,3.22,3.29,2.344758,64500
13-08-1999,3.3,3.37,3.2,3.29,2.344758,76000
16-08-1999,3.3,3.4,3.23,3.4,2.423154,62000
17-08-1999,3.4,3.4,3.31,3.34,2.380393,71500
18-08-1999,3.5,3.6,3.4,3.57,2.544312,200500
19-08-1999,3.55,3.68,3.5,3.52,2.508678,50000
20-08-1999,3.51,3.6,3.51,3.57,2.544312,115500
23-08-1999,3.7,3.74,3.6,3.65,2.601328,161000
24-08-1999,3.8,3.8,3.7,3.8,2.708231,186000
25-08-1999,3.8,3.9,3.68,3.68,2.622708,165500
26-08-1999,3.63,3.78,3.62,3.73,2.658343,35500
27-08-1999,3.8,3.8,3.6,3.67,2.615582,63500
30-08-1999,3.8,3.8,3.64,3.72,2.651216,33500
31-08-1999,3.64,3.7,3.6,3.68,2.622708,30500
